TIEMPO,PALMAS,GUAZU,URUGUAY
1931-01-31,5345.3600940000015,13144.910374,5787.705254
1931-02-01,5369.917137600486,13205.23824265958,5814.291005457852
1931-02-02,5393.822251671018,13264.078236856942,5840.177427535335
1931-02-03,5417.156304620513,13321.511148644024,5865.445373987973
1931-02-04,5439.91929644897,13377.536978020833,5890.0948448157715
1931-02-05,5462.111227156388,13432.155724987366,5914.125840018734
1931-02-06,5483.7320967427695,13485.367389543615,5937.538359596855
1931-02-07,5504.781905208111,13537.1719716896,5960.332403550138
1931-02-08,5525.260652552414,13587.5694714253,5982.507971878579
1931-02-09,5545.168338775684,13636.559888750728,6004.0650645821825
1931-02-10,5564.504963877913,13684.143223665878,6025.003681660947
1931-02-11,5583.270527859102,13730.319476170753,6045.323823114871
1931-02-12,5601.465030719257,13775.088646265349,6065.0254889439575
1931-02-13,5619.088472458371,13818.450733949672,6084.1086791482
1931-02-14,5636.1408530764475,13860.405739223721,6102.573393727607
1931-02-15,5652.622172573488,13900.953662087486,6120.419632682172
1931-02-16,5668.532430949488,13940.094502540982,6137.647396011899
1931-02-17,5683.871628204452,13977.8282605842,6154.256683716787
1931-02-18,5698.639764338376,14014.15493621714,6170.247495796833
1931-02-19,5712.836839351265,14049.074529439804,6185.619832252042
1931-02-20,5726.4628532431125,14082.58704025219,6200.373693082411
1931-02-21,5739.517806013924,14114.692468654306,6214.509078287941
1931-02-22,5752.001697663697,14145.390814646142,6228.025987868629
1931-02-23,5763.914528192434,14174.682078227701,6240.92442182448
1931-02-24,5775.256297600131,14202.566259398984,6253.204380155489
1931-02-25,5786.027005886792,14229.043358159995,6264.865862861662
1931-02-26,5796.226653052415,14254.113374510725,6275.908869942996
1931-02-27,5805.855239096997,14277.776308451179,6286.333401399486
1931-02-28,5815.209276000001,14300.328396,6296.4359159999985
1931-03-01,5823.399227823051,14320.880929101262,6305.3270374379545
1931-03-02,5831.314630504519,14340.322615810886,6313.896142019927
1931-03-03,5838.658972064953,14358.357220110236,6321.846770977062
1931-03-04,5845.432252504344,14374.98474199931,6329.178924309355
1931-03-05,5851.634471822701,14390.20518147811,6335.892602016813
1931-03-06,5857.265630020022,14404.01853854663,6341.987804099427
1931-03-07,5862.3257270963,14416.424813204878,6347.464530557205
1931-03-08,5866.8147630515405,14427.424005452844,6352.322781390141
1931-03-09,5870.732737885746,14437.016115290537,6356.562556598238
1931-03-10,5874.079651598913,14445.201142717957,6360.1838561814975
1931-03-11,5876.855504191041,14451.979087735095,6363.186680139916
1931-03-12,5879.060295662132,14457.34995034196,6365.571028473493
1931-03-13,5880.694026012185,14461.313730538552,6367.336901182235
1931-03-14,5881.756695241197,14463.870428324859,6368.484298266134
1931-03-15,5882.248303349174,14465.020043700895,6369.013219725195
1931-03-16,5882.429023058581,14465.403238698991,6369.205417496341
1931-03-17,5883.85989070423,14468.863985513148,6370.751403201133
1931-03-18,5886.801079008586,14476.04294617569,6373.93292877649
1931-03-19,5891.25258797165,14486.940120686631,6378.749994222416
1931-03-20,5897.214417593425,14501.555509045964,6385.2025995389085
1931-03-21,5904.686567873908,14519.88911125369,6393.290744725971
1931-03-22,5913.669038813098,14541.940927309806,6403.014429783602
1931-03-23,5924.161830410999,14567.710957214316,6414.373654711801
1931-03-24,5936.164942667608,14597.19920096722,6427.368419510566
1931-03-25,5949.678375582926,14630.405658568521,6441.998724179904
1931-03-26,5964.702129156951,14667.330330018212,6458.2645687198055
1931-03-27,5981.236203389688,14707.973215316297,6476.1659531302785
1931-03-28,5999.2805982811315,14752.33431446277,6495.702877411319
1931-03-29,6018.835313831285,14800.413627457645,6516.875341562924
1931-03-30,6039.900350040147,14852.211154300909,6539.683345585103
1931-03-31,6062.023209,14907.274789,6563.674469
1931-04-01,6086.561384433997,14966.960849532616,6590.205973241158
1931-04-02,6112.157382618986,15029.913017921059,6617.920596875041
1931-04-03,6139.2637014626835,15096.583400157895,6647.27076037949
1931-04-04,6167.880340965086,15166.971996243125,6678.2564637545065
1931-04-05,6198.007301126202,15241.078806176749,6710.8777070000915
1931-04-06,6229.644581946025,15318.903829958765,6745.1344901162465
1931-04-07,6262.792183424557,15400.447067589172,6781.026813102968
1931-04-08,6297.4501055618,15485.708519067975,6818.554675960258
1931-04-09,6333.618348357751,15574.688184395169,6857.718078688116
1931-04-10,6371.296911812407,15667.386063570757,6898.517021286543
1931-04-11,6410.485795925775,15763.802156594742,6940.951503755538
1931-04-12,6451.185000697851,15863.936463467116,6985.021526095102
1931-04-13,6493.394526128635,15967.78898418788,7030.7270883052315
1931-04-14,6537.11437221813,16075.359718757043,7078.068190385931
1931-04-15,6582.344538966333,16186.648667174599,7127.044832337198
1931-04-16,6628.0317933241695,16299.062249595632,7176.516421306541
1931-04-17,6673.122902242562,16410.006886175233,7225.342364441459
1931-04-18,6717.617865721515,16519.482576913397,7273.522661741954
1931-04-19,6761.516683761025,16627.48932181013,7321.057313208029
1931-04-20,6804.819356361092,16734.02712086543,7367.946318839678
1931-04-21,6847.525883521721,16839.0959740793,7414.189678636909
1931-04-22,6889.636265242906,16942.695881451735,7459.787392599716
1931-04-23,6931.1505015246485,17044.826842982733,7504.739460728102
1931-04-24,6972.068592366951,17145.488858672295,7549.045883022065
1931-04-25,7012.390537769808,17244.681928520426,7592.706659481606
1931-04-26,7052.116337733226,17342.40605252713,7635.721790106722
1931-04-27,7091.2459922572025,17438.66123069239,7678.091274897421
1931-04-28,7129.7795013417335,17533.447463016222,7719.815113853692
1931-04-29,7167.716864986827,17626.76474949862,7760.893306975545
1931-04-30,7205.381598000001,17718.936358000006,7801.649318000001
1931-05-01,7241.803155958684,17808.992484939114,7841.112755715982
1931-05-02,7277.9520832854505,17897.90293389721,7880.254011334566
1931-05-03,7313.504865172774,17985.34443701388,7918.749621118729
1931-05-04,7348.461501620655,18071.316994289104,7956.59958506847
1931-05-05,7382.821992629096,18155.8206057229,7993.803903183788
1931-05-06,7416.586338198094,18238.85527131526,8030.362575464684
1931-05-07,7449.754538327651,18320.420991066192,8066.275601911158
1931-05-08,7482.326593017766,18400.517764975688,8101.54298252321
1931-05-09,7514.302502268439,18479.145593043748,8136.164717300839
1931-05-10,7545.682266079668,18556.30447527037,8170.140806244045
1931-05-11,7576.465884451458,18631.99441165557,8203.471249352831
1931-05-12,7606.653357383806,18706.21540219933,8236.156046627195
1931-05-13,7636.244684876709,18778.96744690166,8268.195198067133
1931-05-14,7665.239866930174,18850.250545762552,8299.588703672653
1931-05-15,7693.638903544195,18920.06469878202,8330.336563443749
1931-05-16,7721.463745702094,18988.4642391935,8360.4625649193
1931-05-17,7748.846099303771,19055.775166397743,8390.109433332585
1931-05-18,7775.8079153325525,19122.0518136282,8419.300956222482
1931-05-19,7802.349193788434,19187.29418088488,8448.03713358899
1931-05-20,7828.469934671416,19251.50226816777,8476.317965432108
1931-05-21,7854.170137981495,19314.676075476884,8504.143451751837
1931-05-22,7879.449803718678,19376.815602812218,8531.513592548177
1931-05-23,7904.308931882959,19437.92085017376,8558.428387821128
1931-05-24,7928.747522474343,19497.99181756152,8584.887837570695
1931-05-25,7952.7655754928255,19557.0285049755,8610.891941796866
1931-05-26,7976.363090938409,19615.030912415696,8636.44070049965
1931-05-27,7999.540068811094,19671.99903988211,8661.534113679047
1931-05-28,8022.296509110879,19727.93288737474,8686.172181335054
1931-05-29,8044.632411837762,19782.832454893585,8710.354903467673
1931-05-30,8066.547776991749,19836.697742438646,8734.082280076902
1931-05-31,8088.055155,19889.541255000004,8757.366855
1931-06-01,8109.1168945810205,19941.325477607425,8780.170996725195
1931-06-02,8129.7706470163075,19992.08792523114,8802.53233676426
1931-06-03,8150.003861878695,20041.81609288107,8824.438331279933
1931-06-04,8169.816539168183,20090.509980557217,8845.888980272219
1931-06-05,8189.208678884771,20138.16958825958,8866.884283741114
1931-06-06,8208.180281028459,20184.794915988165,8887.424241686622
1931-06-07,8226.731345599246,20230.38596374296,8907.50885410874
1931-06-08,8244.861872597136,20274.942731523977,8927.13812100747
1931-06-09,8262.571862022127,20318.465219331207,8946.312042382811
1931-06-10,8279.861313874215,20360.95342716465,8965.030618234763
1931-06-11,8296.730228153405,20402.40735502432,8983.293848563326
1931-06-12,8313.178604859695,20442.827002910206,9001.101733368501
1931-06-13,8329.206443993087,20482.212370822304,9018.454272650288
1931-06-14,8344.81374555358,20520.563458760626,9035.351466408683
1931-06-15,8360.000509541173,20557.880266725155,9051.793314643692
1931-06-16,8374.834275631658,20594.33042514797,9067.853033780495
1931-06-17,8389.382583500832,20630.08156446115,9083.603840244286
1931-06-18,8403.645433148697,20665.133684664685,9099.04573403506
1931-06-19,8417.62282457525,20699.48678575857,9114.17871515282
1931-06-20,8431.314757780492,20733.140867742826,9129.00278359756
1931-06-21,8444.721232764423,20766.095930617423,9143.517939369289
1931-06-22,8457.842249527042,20798.35197438239,9157.724182468
1931-06-23,8470.677808068349,20829.908999037703,9171.621512893696
1931-06-24,8483.227908388348,20860.76700458338,9185.209930646372
1931-06-25,8495.492550487032,20890.92599101941,9198.489435726038
1931-06-26,8507.471734364408,20920.3859583458,9211.460028132686
1931-06-27,8519.165460020473,20949.146906562542,9224.121707866321
1931-06-28,8530.573727455225,20977.208835669644,9236.474474926934
1931-06-29,8541.696536668665,21004.5717456671,9248.518329314533
1931-06-30,8552.179839,21030.882019,9259.899298999999
1931-07-01,8563.085780431615,21057.200508333088,9271.679300070691
1931-07-02,8573.352214981122,21082.466361001618,9282.796416439245
1931-07-03,8583.333191309317,21107.033194560507,9293.604620134782
1931-07-04,8593.028709416203,21130.901009009744,9304.103911157303
1931-07-05,8602.438769301776,21154.069804349347,9314.29428950681
1931-07-06,8611.56337096604,21176.539580579298,9324.1757551833
1931-07-07,8620.40251440899,21198.31033769961,9333.748308186776
1931-07-08,8628.956199630631,21219.382075710284,9343.011948517234
1931-07-09,8637.224426630959,21239.754794611308,9351.96667617468
1931-07-10,8645.207195409976,21259.428494402688,9360.612491159103
1931-07-11,8652.904505967686,21278.403175084437,9368.949393470517
1931-07-12,8660.31635830408,21296.67883665653,9376.977383108911
1931-07-13,8667.442752419165,21314.255479118983,9384.696460074294
1931-07-14,8674.283688312938,21331.1331024718,9392.106624366657
1931-07-15,8680.839165985399,21347.31170671496,9399.207875986009
1931-07-16,8686.81400468931,21362.06464176893,9405.68056367009
1931-07-17,8690.437119941209,21371.032007156395,9409.606779845391
1931-07-18,8691.413330993857,21373.487152797792,9410.666873249664
1931-07-19,8689.742637847256,21369.430078693127,9408.860843882903
1931-07-20,8685.4250405014,21358.8607848424,9404.188691745116
1931-07-21,8678.460538956295,21341.779271245603,9396.650416836294
1931-07-22,8668.849133211941,21318.185537902747,9386.246019156444
1931-07-23,8656.590823268332,21288.079584813837,9372.975498705562
1931-07-24,8641.685609125476,21251.461411978853,9356.83885548365
1931-07-25,8624.133490783364,21208.331019397807,9337.83608949071
1931-07-26,8603.934468242003,21158.688407070702,9315.967200726736
1931-07-27,8581.08854150139,21102.533574997527,9291.232189191729
1931-07-28,8555.595710561527,21039.86652317829,9263.631054885696
1931-07-29,8527.455975422414,20970.687251613,9233.163797808631
1931-07-30,8496.669336084049,20894.99576030164,9199.830417960537
1931-07-31,8463.670293000001,20813.225953,9164.065313
1931-08-01,8427.155344809566,20724.076118440727,9124.565289951252
1931-08-02,8388.427992873447,20628.84796789117,9082.633541790063
1931-08-03,8347.053736738075,20527.107597595557,9037.835670857841
1931-08-04,8303.032576403453,20418.855007553884,8990.171677154594
1931-08-05,8256.364511869584,20304.09019776615,8939.641560680315
1931-08-06,8207.049543136458,20182.81316823234,8886.245321435003
1931-08-07,8155.087670204084,20055.02391895248,8829.982959418661
1931-08-08,8100.478893072458,19920.722449926547,8770.854474631291
1931-08-09,8043.223211741581,19779.90876115455,8708.859867072886
1931-08-10,7983.320626211453,19632.582852636497,8643.99913674345
1931-08-11,7920.7711364820725,19478.74472437238,8576.272283642991
1931-08-12,7855.574742553444,19318.3943763622,8505.679307771494
1931-08-13,7787.731444425562,19151.53180860595,8432.22020912897
1931-08-14,7717.241242098429,18978.15702110364,8355.894987715412
1931-08-15,7644.1041355720445,18798.270013855272,8276.703643530827
1931-08-16,7568.663668794014,18612.71605094113,8195.018175222936
1931-08-17,7492.981105449952,18426.566716842968,8113.070574678124
1931-08-18,7417.399989487467,18240.66727564108,8031.232840544118
1931-08-19,7341.920320906554,18055.017727335467,7949.504972820915
1931-08-20,7266.54209970722,17869.61807192614,7867.88697150852
1931-08-21,7191.265325889455,17684.46830941307,7786.3788366069275
1931-08-22,7116.089999453271,17499.568439796294,7704.980568116144
1931-08-23,7041.016120398657,17314.91846307578,7623.692166036163
1931-08-24,6966.043688725619,17130.51837925154,7542.513630366989
1931-08-25,6891.172704434157,16946.368188323584,7461.44496110862
1931-08-26,6816.403167524268,16762.4678902919,7380.486158261056
1931-08-27,6741.735077995952,16578.817485156487,7299.637221824298
1931-08-28,6667.168435849214,16395.416972917355,7218.898151798345
1931-08-29,6592.7032410840475,16212.266353574492,7138.2689481831985
1931-08-30,6518.339493700459,16029.365627127907,7057.7496109788535
1931-08-31,6444.0233640000015,15846.661044000002,6977.286324
1931-09-01,6369.916341078,15664.313852923557,6897.0405358025855
1931-09-02,6295.856935839136,15482.1628051658,6816.850797830661
1931-09-03,6221.898977981845,15300.261650304317,6736.770926269539
